MAGNITUDE,DEPTH,REGION,DISTANCE,TSUNAMI
8.4,30,1,-16.2828,1
8.4,35,0,222.407,1
8.4,33,0,3.79204,1
8.4,34,0,58.8543,1
8.4,40,0,32.8417,1
8.4,25,0,48.7107,1
8.5,60,0,55.0654,1
8.5,30,1,-5.23181,1
8.5,30,0,17.3214,1
8.5,70,0,102.784,1
8.5,25,0,59.8526,1
8.5,13,0,90.1882,1
8.6,33,0,62.0724,1
8.6,20,0,268.767,1
8.7,33,0,8.66413,1
8.7,35,1,-46.2504,1
8.7,36,0,34.4704,1
8.7,30,1,-0.75595,1
8.8,25,0,159.122,1
8.8,23,0,7.47777,1
9,22,0,38.9508,1
9.1,30,0,41.1042,1
9.1,30,0,69.2911,1
9.5,33,1,-3.15413,1
4.1,1,1,-251.179,0
4.9,5,1,-29.6303,0
4.4,5,1,-0.614029,0
4.2,7,1,-3.99252,0
4.9,10,1,-409.1,0
4.7,10,1,-303.213,0
4.3,10,1,-518.176,0
4.9,10,1,-125.532,0
4.6,10,1,-1673.5,0
4.3,10,1,-395.345,0
4.6,10,1,-2492.43,0
4.6,10,1,-1729.43,0
4.8,10,1,-271.406,0
4.3,10,1,-47.6975,0
4.4,10,1,-199.244,0
4.6,10,1,-873.896,0
4.5,10,1,-5.33865,0
5,10,1,-28.1627,0
5,10,1,-866.417,0
5,10,1,-1596.51,0
4.6,10,1,-457.145,0
4.8,10,1,-502.16,0
4.5,10,1,-493.622,0
4.8,10,1,-745.261,0
4.9,10,1,-234.926,0
4.2,10,1,-186.309,0
5,10,1,-437.268,0
4.7,10,1,-841.422,0
4.4,10,1,-64.3871,0
4.9,10,1,-497.106,0
4.8,10,1,-208.216,0
4.8,10,1,-202.652,0
4.9,10,1,-199.166,0
4.9,10,1,-172.858,0
4.8,10,1,-439.121,0
4.6,10,1,-120.287,0
4.4,10,1,-302.68,0
4.6,10,1,-26.1486,0
4.6,10,1,-664.687,0
4.7,10,1,-2280.55,0
5,10,1,-414.135,0
4.7,10,1,-1484.03,0
4.9,10,1,-512.632,0
4.9,10,1,-81.0621,0
4.6,14,1,-1219.22,0
4.8,14,1,-0.763872,0
4.2,16,1,-351.07,0
4.8,17,1,-0.533019,0
4.6,17,1,-1285.38,0
5,20,1,-88.2783,0
4.7,23,1,-541.445,0
4.5,25,1,-998.747,0
4.5,26,1,-13.6139,0
4.5,34,1,-698.967,0
4.9,36,1,-336.34,0
4.8,44,1,-7.72911,0
4.7,56,1,-34.063,0
4.8,56,1,-7.80801,0
4.7,57,1,-47.2977,0
4.6,65,1,-146.018,0
4.6,69,1,-0.77967,0
4.9,70,0,0,0
4.8,75,0,0,0
4.8,76,0,0,0
4.9,77,0,0,0
4.7,77,0,0,0
4.3,78,0,0,0
4.6,78,0,0,0
5,81,0,0,0
4.6,81,1,-5.05142,0
5,86,0,0,0
5,87,1,-10.8246,0
5,87,0,0,0
4.7,88,0,0,0
4.3,89,0,0,0
4.8,90,0,0,0
4.3,93,0,0,0
4.8,94,0,0,0
4.5,94,0,0,0
4.7,94,0,0,0
4.8,95,1,-243.721,0
4.4,95,0,0,0
4.9,95,0,0,0
4.8,95,0,0,0
4.6,95,0,0,0
4.7,96,1,-74.1538,0
4.5,97,0,0,0
4.5,98,1,-451.508,0
4.5,99,0,0,0
4.6,99,0,0,0
4.5,99,0,0,0
4.6,100,0,0,0
4.5,101,0,0,0
4.8,102,0,0,0
4.6,104,1,-1217.19,0
4.5,104,0,0,0
4.5,105,1,-5.95278,0
5,106,1,-42.9653,0
4.6,106,1,-1378.98,0
5,107,0,0,0
4.7,107,0,0,0
4.4,108,0,0,0
4.8,108,0,0,0
4,108,0,0,0
4.5,109,0,0,0
4.5,109,1,-1251.4,0
4.6,109,0,0,0
4.5,109,0,0,0
4.8,109,0,0,0
4.8,110,0,0,0
4.4,112,1,-359.054,0
4.8,113,0,0,0
4.9,113,1,-18.0405,0
4.7,113,0,0,0
4,113,0,0,0
4.8,116,1,-771.063,0
4.6,116,0,0,0
4.9,116,0,0,0
4.8,117,0,0,0
4.8,117,0,0,0
4.6,117,1,-1491.83,0
4.5,120,0,0,0
4.7,120,0,0,0
4.8,120,0,0,0
4.8,120,0,0,0
4.9,120,1,-618.774,0
4.7,121,1,-944.684,0
4.5,123,1,-1812.52,0
4.7,123,0,0,0
5,131,0,0,0
4.5,132,0,0,0
5,140,0,0,0
5,144,0,0,0
4.4,147,1,-1388.59,0
4.5,151,0,0,0
4.8,157,1,-83.8347,0
4.5,158,0,0,0
4.4,159,0,0,0
4.7,164,0,0,0
4.7,166,0,0,0
4.4,167,1,-3.08088,0
4.7,168,0,0,0
5,169,0,0,0
4.7,171,0,0,0
4.3,173,1,-1250.75,0
5,194,0,0,0
4.6,197,0,0,0
