MAGNITUDE,DEPTH,REGION,DISTANCE,CLASS
5.8,10,1,-742.235,0
5.5,10,1,-1328.92,0
6.4,10,1,-1667.18,0
6.1,10,1,-540.454,0
5.5,10,1,-560.149,0
5.5,10,1,-549.676,0
5.5,10,1,-197.467,0
5.7,10,1,-1397.18,0
5.9,10,1,-1397.67,0
5.9,10,1,-494.174,0
5.5,10,1,-674.235,0
5.8,10,1,-1758.89,0
5.5,10,1,-1018.72,0
5.5,10,1,-2341.78,0
5.7,10,1,-1005.06,0
5.6,10,1,-530.294,0
6,10,1,-1683.33,0
5.5,10,1,-1384.44,0
5.8,10,1,-1357.61,0
5.5,10,1,-1198.47,0
5.8,10,1,-1159.02,0
5.5,10,1,-665.638,0
6.4,10,1,-1710.31,0
6.4,10,1,-1364.9,0
5.5,10,1,-1103.37,0
5.5,10,1,-982.695,0
5.6,10,1,-1681.51,0
5.6,10,1,-195.403,0
5.7,10,1,-212.021,0
5.7,10,1,-1688.55,0
6.4,10,1,-1457.56,0
6.6,10,1,-201.346,0
5.8,10,1,-2180.07,0
6.1,10,1,-626.023,0
5.7,10,1,-648.344,0
5.6,10,1,-694.307,0
6.2,10,1,-451.337,0
5.9,10,1,-1884.14,0
6,10,1,-2171.84,0
6.2,10,1,-304.325,0
7,10,1,-646.279,0
5.5,10,1,-650.787,0
5.7,10,1,-348.626,0
5.6,10,1,-1093.22,0
6,10,1,-1335.82,0
5.6,10,1,-688.431,0
5.9,10,1,-1137.88,0
5.7,10,1,-2184.35,0
5.5,10,1,-1160.55,0
6.1,10,1,-801.882,0
5.6,10,1,-253.181,0
5.8,10,1,-254.578,0
5.5,10,1,-333.933,0
5.6,10,1,-824.151,0
5.6,10,1,-729.988,0
5.8,10,1,-812.003,0
7,10,1,-822.303,0
5.6,10,1,-577.004,0
6.1,10,1,-210.377,0
6.1,10,1,-690.028,0
5.5,10,1,-177.899,0
5.5,10,1,-831.901,0
5.5,10,1,-680.98,0
5.8,10,1,-396.104,0
6.2,10,1,-400.323,0
5.8,10,1,-395.75,0
6,10,1,-376.392,0
5.5,10,1,-168.128,0
5.5,10,1,-2200.78,0
5.5,10,1,-333.214,0
5.6,10,1,-258.664,0
6,10,1,-261.656,0
5.7,10,1,-268.297,0
6.2,10,1,-273.842,0
5.5,10,1,-1529.74,0
5.6,10,1,-2093.2,0
5.9,10,1,-759.189,0
6.1,10,1,-508.644,0
6,10,1,-176.46,0
5.9,10,1,-167.648,0
5.5,10,1,-297.558,0
5.6,10,1,-806.789,0
5.8,10,1,-311.853,0
5.7,10,1,-308.069,0
6.8,10,1,-317.195,0
5.6,10,1,-172.988,0
5.8,10,1,-169.548,0
5.8,10,1,-682.333,0
5.7,10,1,-234.535,0
5.5,10,1,-400.811,0
5.9,10,1,-678.634,0
5.7,10,1,-689.586,0
6.4,10,1,-1118.59,0
5.8,10,1,-1738.85,0
6.2,10,1,-1607.6,0
6.2,10,1,-390.956,0
5.6,10,1,-166.72,0
6.5,10,1,-768.171,0
5.8,10,1,-363.638,0
5.5,10,1,-167.238,0
5.5,10,1,-181.016,0
5.6,10,1,-371.718,0
5.5,10,1,-1472.33,0
5.5,10,1,-186.589,0
5.8,10,1,-1274.96,0
5.6,10,1,-458.551,0
5.8,10,1,-677.602,0
6.2,10,1,-160.226,0
5.5,10,1,-182.838,0
6.9,10,1,-1609.18,0
5.5,10,1,-1692.67,0
6.2,10,1,-1629.25,0
6.4,10,1,-1834.55,0
5.5,10,1,-302.249,0
6,10,1,-1136.9,0
5.7,10,1,-991.555,0
5.8,10,1,-690.357,0
6.1,10,1,-638.841,0
5.8,10,1,-1035,0
5.5,10,1,-1284.22,0
6,10,1,-1276.4,0
6.2,10,1,-2421.9,0
5.7,10,1,-222.649,0
5.8,10,1,-363.317,0
5.9,10,1,-344.917,0
5.6,10,1,-1199.21,0
5.5,10,1,-732.479,0
5.6,10,1,-1214.45,0
5.7,10,1,-461.829,0
7.2,11,1,-1512.89,0
6.8,12,1,-682.349,0
6.7,12,1,-643.583,0
5.6,12,1,-661.268,0
6.4,13,1,-853.538,0
5.5,14,1,-240.012,0
6.6,14,1,-441.703,0
5.6,14,1,-582.01,0
7,15,1,-2201.35,0
6.1,15,1,-690.705,0
7.2,15,1,-644.116,0
6.7,15,1,-190.388,0
5.9,15,1,-196.234,0
7.7,15,1,-169.038,0
5.8,16,1,-905.928,0
5.7,16,1,-514.92,0
5.8,16,1,-1591.05,0
5.9,17,1,-975.672,0
5.8,17,1,-1249.64,0
5.6,17,1,-1226.55,0
7.8,18,1,-737.937,0
6.1,18,1,-583.99,0
6.1,18,1,-2241.27,0
6.6,19,1,-1080.62,0
6.8,20,1,-973.578,0
5.5,20,1,-761.076,0
6.2,20,1,-895.929,0
5.7,20,1,-891.921,0
6.1,20,1,-1325.28,0
5.6,21,1,-167.895,0
5.7,21,1,-1465.09,0
5.8,21,1,-867.737,0
6.7,21,1,-746.267,0
5.7,21,1,-1145.23,0
7.3,22,1,-557.115,0
5.8,22,1,-987.982,0
6.1,22,1,-690.496,0
5.6,22,1,-530.096,0
6.1,22,1,-1261.2,0
5.5,22,1,-196.13,0
6.5,23,1,-968.596,0
5.6,23,1,-758.955,0
6.3,24,1,-2494.78,0
5.8,24,1,-662.656,0
6,24,1,-1372.99,0
5.5,24,1,-784.682,0
5.6,25,1,-818.649,0
5.8,25,1,-969.03,0
6.1,25,1,-329.614,0
5.5,25,1,-321.365,0
6.1,26,1,-182.887,0
5.5,26,1,-1472.88,0
5.9,27,1,-1605.74,0
6.3,27,1,-737.456,0
5.5,27,1,-489.756,0
6.3,27,1,-854.827,0
5.6,28,1,-830.326,0
5.8,28,1,-745.937,0
5.7,28,1,-785.544,0
5.8,28,1,-844.4,0
5.5,28,1,-168.939,0
5.8,28,1,-1023.7,0
5.5,28,1,-2322.48,0
5.7,29,1,-661.668,0
5.8,29,1,-777.215,0
8.2,29,1,-823.195,0
5.6,29,1,-655.018,0
7.2,29,1,-351.857,0
6.1,29,1,-386.958,0
5.6,30,1,-538.408,0
6.1,30,1,-824.333,0
5.7,30,1,-1123.08,0
6.2,30,1,-174.953,0
5.9,31,1,-1281.18,0
5.7,31,1,-515.569,0
5.6,32,1,-841.922,0
7,32,1,-818.5,0
5.5,32,1,-927.037,0
7.6,33,1,-2082.23,0
